,Description,LineCode,c_00000,c_06000,c_06001,c_06003,c_06005,c_06007,c_06009,c_06011,c_06013,c_06015,c_06017,c_06019,c_06021,c_06023,c_06025,c_06027,c_06029,c_06031,c_06033,c_06035,c_06037,c_06039,c_06041,c_06043,c_06045,c_06047,c_06049,c_06051,c_06053,c_06055,c_06057,c_06059,c_06061,c_06063,c_06065,c_06067,c_06069,c_06071,c_06073,c_06075,c_06077,c_06079,c_06081,c_06083,c_06085,c_06087,c_06089,c_06091,c_06093,c_06095,c_06097,c_06099,c_06101,c_06103,c_06105,c_06107,c_06109,c_06111,c_06113,c_06115
0,Total employment (number of jobs),10.0,196132200.0,23584800.0,1066435.0,1214.0,18111.0,114627.0,17066.0,11747.0,566859.0,10877.0,91651.0,495917.0,12773.0,72735.0,79738.0,10409.0,410161.0,61723.0,24823.0,12962.0,6438487.0,64828.0,198176.0,8406.0,49534.0,103945.0,4036.0,10246.0,250413.0,104826.0,55303.0,2252645.0,234015.0,9765.0,1031866.0,869288.0,24847.0,1021060.0,2112512.0,949800.0,329770.0,173773.0,565584.0,277989.0,1402746.0,156392.0,91443.0,1128.0,21465.0,197480.0,304489.0,246865.0,42846.0,26038.0,4796.0,207171.0,25992.0,468725.0,137571.0,28711.0
1, Wage and salary employment,20.0,151825000.0,17908517.0,826948.0,1048.0,12723.0,88316.0,10134.0,9210.0,394146.0,8524.0,60530.0,403408.0,9314.0,52751.0,66040.0,7856.0,334392.0,53364.0,17493.0,10523.0,4721124.0,51297.0,124345.0,5769.0,33880.0,83560.0,2631.0,7795.0,202795.0,80514.0,32984.0,1705177.0,171644.0,6554.0,760870.0,690277.0,17829.0,794544.0,1628862.0,766027.0,261891.0,124546.0,426546.0,212171.0,1141668.0,111177.0,69696.0,606.0,14669.0,153087.0,218263.0,197054.0,31859.0,19346.0,2866.0,169030.0,18376.0,344395.0,113823.0,22250.0
2, Proprietors employment,40.0,44307200.0,5676283.0,239487.0,166.0,5388.0,26311.0,6932.0,2537.0,172713.0,2353.0,31121.0,92509.0,3459.0,19984.0,13698.0,2553.0,75769.0,8359.0,7330.0,2439.0,1717363.0,13531.0,73831.0,2637.0,15654.0,20385.0,1405.0,2451.0,47618.0,24312.0,22319.0,547468.0,62371.0,3211.0,270996.0,179011.0,7018.0,226516.0,483650.0,183773.0,67879.0,49227.0,139038.0,65818.0,261078.0,45215.0,21747.0,522.0,6796.0,44393.0,86226.0,49811.0,10987.0,6692.0,1930.0,38141.0,7616.0,124330.0,23748.0,6461.0
3,  Farm proprietors employment,50.0,1812000.0,64937.0,355.0,0.0,388.0,1759.0,571.0,700.0,515.0,102.0,1151.0,4766.0,1145.0,810.0,300.0,91.0,1615.0,924.0,717.0,383.0,1010.0,1297.0,265.0,314.0,1037.0,2162.0,360.0,61.0,945.0,1312.0,656.0,230.0,1175.0,107.0,2394.0,1151.0,539.0,1065.0,4691.0,0.0,3009.0,2133.0,245.0,1163.0,837.0,521.0,1338.0,37.0,774.0,711.0,2934.0,3517.0,1178.0,1519.0,218.0,4176.0,347.0,1702.0,809.0,706.0
4,  Nonfarm proprietors employment 2/,60.0,42495200.0,5611346.0,239132.0,166.0,5000.0,24552.0,6361.0,1837.0,172198.0,2251.0,29970.0,87743.0,2314.0,19174.0,13398.0,2462.0,74154.0,7435.0,6613.0,2056.0,1716353.0,12234.0,73566.0,2323.0,14617.0,18223.0,1045.0,2390.0,46673.0,23000.0,21663.0,547238.0,61196.0,3104.0,268602.0,177860.0,6479.0,225451.0,478959.0,183773.0,64870.0,47094.0,138793.0,64655.0,260241.0,44694.0,20409.0,485.0,6022.0,43682.0,83292.0,46294.0,9809.0,5173.0,1712.0,33965.0,7269.0,122628.0,22939.0,5755.0
5, Farm employment,70.0,2631000.0,237065.0,682.0,0.0,515.0,3591.0,613.0,2229.0,939.0,308.0,1328.0,18164.0,2442.0,1409.0,4431.0,133.0,19412.0,4247.0,888.0,873.0,4882.0,4252.0,453.0,331.0,1779.0,9920.0,589.0,92.0,18030.0,3298.0,703.0,1551.0,1419.0,132.0,8308.0,2724.0,1248.0,2460.0,11221.0,0.0,10153.0,3921.0,1548.0,11933.0,2873.0,6816.0,1882.0,50.0,1306.0,1807.0,6253.0,10275.0,3418.0,2386.0,226.0,15495.0,385.0,16714.0,2900.0,1128.0
6, Nonfarm employment,80.0,193501200.0,23347735.0,1065753.0,1214.0,17596.0,111036.0,16453.0,9518.0,565920.0,10569.0,90323.0,477753.0,10331.0,71326.0,75307.0,10276.0,390749.0,57476.0,23935.0,12089.0,6433605.0,60576.0,197723.0,8075.0,47755.0,94025.0,3447.0,10154.0,232383.0,101528.0,54600.0,2251094.0,232596.0,9633.0,1023558.0,866564.0,23599.0,1018600.0,2101291.0,949800.0,319617.0,169852.0,564036.0,266056.0,1399873.0,149576.0,89561.0,1078.0,20159.0,195673.0,298236.0,236590.0,39428.0,23652.0,4570.0,191676.0,25607.0,452011.0,134671.0,27583.0
7,  Private nonfarm employment,90.0,169096200.0,20566834.0,944603.0,944.0,12747.0,93987.0,13645.0,7240.0,515738.0,6883.0,79277.0,403611.0,8207.0,57046.0,56297.0,7196.0,321527.0,37803.0,19648.0,5611.0,5819094.0,49460.0,181441.0,5866.0,40736.0,74334.0,2309.0,8315.0,193617.0,90330.0,48369.0,2087009.0,213027.0,7221.0,886623.0,686779.0,20509.0,873952.0,1755207.0,842446.0,275493.0,146438.0,529854.0,227151.0,1302540.0,129236.0,76394.0,708.0,15939.0,162898.0,267692.0,205969.0,34447.0,19454.0,3517.0,158704.0,20172.0,400999.0,93487.0,17088.0
8,"   Forestry, fishing, and related activities",100.0,926400.0,249997.0,556.0,7.0,367.0,1502.0,0.0,0.0,636.0,381.0,453.0,32368.0,864.0,0.0,7230.0,0.0,42672.0,0.0,995.0,238.0,2914.0,0.0,0.0,0.0,1426.0,0.0,161.0,0.0,35307.0,0.0,400.0,1139.0,340.0,0.0,6564.0,1836.0,1562.0,827.0,2421.0,250.0,8958.0,3765.0,558.0,10051.0,1663.0,1238.0,957.0,0.0,0.0,658.0,3006.0,7296.0,2204.0,0.0,0.0,26977.0,232.0,7195.0,3594.0,383.0
9,"   Mining, quarrying, and oil and gas extraction",200.0,1511100.0,60099.0,1320.0,0.0,210.0,262.0,0.0,0.0,1594.0,37.0,314.0,770.0,62.0,0.0,438.0,0.0,10875.0,0.0,131.0,49.0,12313.0,0.0,0.0,0.0,170.0,0.0,37.0,0.0,775.0,0.0,328.0,6056.0,731.0,0.0,2253.0,971.0,63.0,1535.0,4176.0,896.0,488.0,636.0,781.0,1918.0,1949.0,307.0,405.0,0.0,0.0,577.0,822.0,297.0,207.0,0.0,0.0,275.0,126.0,2407.0,294.0,123.0
10,   Utilities,300.0,663500.0,67673.0,1641.0,0.0,0.0,566.0,127.0,72.0,0.0,0.0,213.0,2476.0,84.0,0.0,446.0,251.0,1366.0,117.0,409.0,0.0,13804.0,249.0,0.0,0.0,203.0,0.0,0.0,0.0,898.0,207.0,0.0,3684.0,987.0,176.0,2183.0,2291.0,0.0,4106.0,5957.0,5121.0,1367.0,2185.0,1198.0,467.0,2814.0,0.0,435.0,0.0,106.0,614.0,827.0,0.0,39.0,125.0,39.0,819.0,116.0,1087.0,0.0,0.0
11,   Construction,400.0,10634600.0,1158298.0,58880.0,0.0,1056.0,6250.0,1725.0,211.0,36601.0,382.0,8190.0,23054.0,575.0,4672.0,2186.0,476.0,20550.0,1380.0,1625.0,396.0,228661.0,2892.0,11032.0,463.0,3154.0,3918.0,178.0,646.0,9588.0,5760.0,5557.0,131847.0,20395.0,787.0,87528.0,48970.0,2155.0,53871.0,108689.0,28579.0,16131.0,11968.0,26842.0,12770.0,61298.0,8477.0,5162.0,0.0,1114.0,13900.0,20437.0,13297.0,1961.0,1239.0,296.0,8136.0,1651.0,23987.0,5186.0,1470.0
12,   Manufacturing,500.0,13304800.0,1430171.0,85334.0,0.0,931.0,5278.0,606.0,1350.0,18684.0,183.0,3531.0,27635.0,762.0,3060.0,1750.0,383.0,15046.0,5076.0,555.0,65.0,382451.0,3779.0,6145.0,217.0,3150.0,10100.0,59.0,116.0,6689.0,14685.0,2223.0,171099.0,7143.0,634.0,49478.0,24179.0,3597.0,61678.0,119390.0,15674.0,20531.0,8980.0,28329.0,14885.0,169609.0,8516.0,3242.0,0.0,1111.0,13378.0,26236.0,22684.0,1726.0,1986.0,295.0,13674.0,1057.0,33337.0,6887.0,915.0
13,   Wholesale trade,600.0,6478900.0,805009.0,44799.0,1.0,0.0,2430.0,243.0,664.0,13796.0,0.0,1407.0,16838.0,391.0,1335.0,2571.0,133.0,10279.0,759.0,188.0,108.0,268668.0,1090.0,3790.0,0.0,1090.0,0.0,90.0,0.0,6653.0,2367.0,0.0,100574.0,5485.0,93.0,30483.0,19999.0,0.0,46671.0,59742.0,20380.0,14098.0,3779.0,14507.0,6245.0,41431.0,4201.0,2205.0,0.0,315.0,5165.0,9550.0,0.0,1528.0,423.0,36.0,5052.0,269.0,16238.0,0.0,0.0
14,   Retail trade,700.0,19222200.0,2089996.0,86879.0,28.0,2151.0,13850.0,1870.0,788.0,54784.0,1160.0,8830.0,47275.0,1070.0,9070.0,9573.0,1283.0,40601.0,5331.0,2873.0,1126.0,533113.0,5097.0,17535.0,621.0,5908.0,10319.0,315.0,783.0,20558.0,8042.0,5658.0,191426.0,28269.0,836.0,117728.0,79724.0,1998.0,110996.0,185282.0,55014.0,32879.0,18507.0,40496.0,23162.0,101529.0,15332.0,11648.0,42.0,2199.0,23153.0,31184.0,28307.0,5468.0,2601.0,567.0,19996.0,3065.0,50009.0,9866.0,2222.0
15,   Transportation and warehousing,800.0,7663800.0,995167.0,54018.0,6.0,263.0,1884.0,304.0,322.0,0.0,151.0,1213.0,19798.0,663.0,0.0,3551.0,104.0,16473.0,1865.0,384.0,0.0,324483.0,1746.0,0.0,106.0,834.0,5152.0,0.0,76.0,5705.0,2887.0,765.0,53353.0,5720.0,233.0,58705.0,33071.0,731.0,97132.0,60598.0,29993.0,34202.0,3333.0,44651.0,5603.0,33730.0,0.0,2269.0,0.0,502.0,8017.0,6385.0,11970.0,2881.0,1929.0,65.0,8624.0,309.0,9486.0,8725.0,672.0
16,   Information,900.0,3384400.0,620677.0,23259.0,0.0,197.0,1172.0,144.0,22.0,10342.0,95.0,1016.0,4472.0,12.0,618.0,404.0,64.0,2557.0,213.0,175.0,119.0,266824.0,413.0,4162.0,44.0,398.0,407.0,0.0,59.0,1618.0,609.0,620.0,34346.0,3163.0,94.0,8853.0,10540.0,111.0,7370.0,31068.0,46133.0,2372.0,1914.0,37958.0,6062.0,90797.0,1471.0,865.0,0.0,208.0,1541.0,3870.0,1332.0,225.0,139.0,45.0,1174.0,252.0,7227.0,1306.0,167.0
17,   Finance and insurance,1000.0,10510200.0,1099286.0,42213.0,19.0,569.0,4428.0,516.0,140.0,41599.0,150.0,6413.0,19632.0,243.0,1827.0,1839.0,199.0,11516.0,1107.0,537.0,209.0,296494.0,1489.0,12037.0,87.0,1183.0,2570.0,65.0,75.0,6381.0,3226.0,2005.0,152800.0,16803.0,278.0,37133.0,43728.0,824.0,33907.0,96451.0,68527.0,11748.0,5918.0,35491.0,8582.0,53114.0,4920.0,3741.0,0.0,543.0,7680.0,11384.0,7436.0,1420.0,616.0,0.0,5955.0,605.0,27735.0,2610.0,455.0
18,   Real estate and rental and leasing,1100.0,9105900.0,1184055.0,40635.0,61.0,729.0,4612.0,1022.0,329.0,34434.0,331.0,6024.0,17418.0,242.0,2693.0,1889.0,320.0,12807.0,1401.0,942.0,265.0,368077.0,1917.0,14683.0,290.0,2024.0,2967.0,142.0,815.0,9171.0,4079.0,3758.0,149310.0,16239.0,417.0,49660.0,34048.0,1156.0,36775.0,110298.0,43736.0,12972.0,9658.0,29278.0,14567.0,59134.0,7685.0,3488.0,0.0,721.0,7106.0,14987.0,9302.0,1926.0,727.0,0.0,6203.0,1358.0,23688.0,4694.0,640.0
19,"   Professional, scientific, and technical services",1200.0,13721000.0,1995511.0,119151.0,0.0,831.0,5228.0,0.0,235.0,50649.0,354.0,6893.0,19239.0,311.0,3668.0,1806.0,421.0,15924.0,1173.0,960.0,0.0,506709.0,1605.0,25422.0,366.0,2335.0,2445.0,112.0,0.0,11428.0,5471.0,4534.0,210478.0,17408.0,473.0,47567.0,62283.0,0.0,41069.0,208213.0,172758.0,10516.0,12999.0,79878.0,21707.0,207170.0,12475.0,4778.0,0.0,925.0,8530.0,22380.0,9842.0,1399.0,672.0,242.0,5730.0,0.0,35687.0,8200.0,0.0
20,   Management of companies and enterprises,1300.0,2667400.0,265925.0,15236.0,0.0,0.0,583.0,0.0,0.0,9096.0,0.0,453.0,2388.0,0.0,257.0,303.0,0.0,3982.0,138.0,97.0,0.0,71784.0,535.0,2788.0,0.0,215.0,1213.0,0.0,0.0,1003.0,785.0,110.0,39444.0,2150.0,0.0,3384.0,10099.0,0.0,6852.0,24760.0,25316.0,2050.0,784.0,8787.0,2381.0,15153.0,1405.0,513.0,0.0,74.0,1069.0,2682.0,1903.0,191.0,151.0,0.0,793.0,0.0,3023.0,1390.0,0.0
21,   Administrative and support and waste management and remediation services,1400.0,12088500.0,1507593.0,62662.0,0.0,0.0,4885.0,797.0,257.0,39096.0,0.0,5811.0,26792.0,299.0,2946.0,3129.0,0.0,20865.0,1208.0,798.0,260.0,412995.0,2536.0,11124.0,0.0,2318.0,3553.0,65.0,384.0,11634.0,6749.0,2496.0,193058.0,14813.0,0.0,77003.0,64458.0,1514.0,78597.0,128629.0,55512.0,19048.0,7397.0,34189.0,14521.0,87162.0,7852.0,5712.0,0.0,793.0,9909.0,17764.0,12163.0,2221.0,946.0,139.0,11932.0,1085.0,28849.0,6014.0,1073.0
22,   Educational services,1500.0,4691200.0,533991.0,29500.0,1.0,0.0,968.0,0.0,0.0,14836.0,0.0,1231.0,5794.0,0.0,703.0,426.0,0.0,3030.0,287.0,188.0,0.0,165105.0,315.0,7644.0,138.0,538.0,567.0,0.0,70.0,3858.0,1933.0,963.0,47669.0,3593.0,90.0,13650.0,15897.0,228.0,16572.0,48820.0,27591.0,6674.0,1991.0,15046.0,5556.0,60277.0,4601.0,1528.0,14.0,162.0,3570.0,5044.0,2602.0,382.0,141.0,0.0,1581.0,301.0,9721.0,1736.0,158.0
23,   Health care and social assistance,1600.0,22201200.0,2652241.0,124197.0,40.0,0.0,20817.0,0.0,0.0,74004.0,0.0,9029.0,70850.0,0.0,9978.0,9398.0,0.0,40778.0,7029.0,5341.0,0.0,806239.0,9016.0,22219.0,469.0,6647.0,11071.0,0.0,155.0,20608.0,9937.0,6420.0,217367.0,28814.0,719.0,115363.0,108860.0,1643.0,124102.0,203362.0,83255.0,37554.0,17199.0,47567.0,28714.0,137361.0,19072.0,15299.0,72.0,2533.0,27792.0,38346.0,33550.0,4988.0,3120.0,0.0,17339.0,3353.0,47282.0,11024.0,3807.0
24,"   Arts, entertainment, and recreation",1700.0,4455500.0,653153.0,28074.0,0.0,380.0,2124.0,692.0,90.0,15378.0,148.0,3580.0,6297.0,131.0,1926.0,384.0,264.0,4846.0,452.0,347.0,0.0,245236.0,869.0,8971.0,167.0,1306.0,1010.0,0.0,307.0,5121.0,2087.0,2662.0,72466.0,7518.0,293.0,22797.0,16591.0,487.0,16138.0,54737.0,28503.0,4596.0,4390.0,11846.0,7705.0,25886.0,5839.0,1808.0,16.0,577.0,5089.0,9632.0,3951.0,756.0,296.0,118.0,1902.0,821.0,12263.0,2407.0,426.0
25,   Accommodation and food services,1800.0,14697400.0,1784797.0,70332.0,0.0,1221.0,8695.0,1227.0,608.0,38569.0,949.0,8635.0,32598.0,702.0,6002.0,4651.0,1550.0,25462.0,3340.0,1371.0,0.0,474637.0,3379.0,15103.0,1929.0,4717.0,5714.0,0.0,3657.0,23874.0,12916.0,4196.0,180531.0,19949.0,861.0,86158.0,58524.0,1418.0,72150.0,177800.0,88887.0,20966.0,19215.0,41658.0,26097.0,92668.0,13137.0,6511.0,91.0,1813.0,13778.0,24409.0,18382.0,2775.0,1488.0,437.0,11820.0,2376.0,34841.0,7409.0,1478.0
26,   Other services (except government and government enterprises),1900.0,11168200.0,1413195.0,55917.0,44.0,1012.0,8453.0,1449.0,502.0,34986.0,542.0,6041.0,27917.0,807.0,5163.0,4323.0,658.0,21898.0,2549.0,1732.0,546.0,438587.0,3306.0,13877.0,555.0,3120.0,5209.0,267.0,556.0,12748.0,5319.0,4855.0,130362.0,13507.0,603.0,70133.0,50710.0,1515.0,63604.0,124814.0,46321.0,18343.0,11820.0,30794.0,16158.0,59795.0,9771.0,5828.0,52.0,1425.0,11372.0,18747.0,13834.0,2150.0,1461.0,340.0,10722.0,1802.0,26937.0,5860.0,1477.0
27,  Government and government enterprises,2000.0,24405000.0,2780901.0,121150.0,270.0,4849.0,17049.0,2808.0,2278.0,50182.0,3686.0,11046.0,74142.0,2124.0,14280.0,19010.0,3080.0,69222.0,19673.0,4287.0,6478.0,614511.0,11116.0,16282.0,2209.0,7019.0,19691.0,1138.0,1839.0,38766.0,11198.0,6231.0,164085.0,19569.0,2412.0,136935.0,179785.0,3090.0,144648.0,346084.0,107354.0,44124.0,23414.0,34182.0,38905.0,97333.0,20340.0,13167.0,370.0,4220.0,32775.0,30544.0,30621.0,4981.0,4198.0,1053.0,32972.0,5435.0,51012.0,41184.0,10495.0
28,   Federal civilian,2001.0,2857000.0,248950.0,9162.0,1.0,100.0,564.0,128.0,69.0,4846.0,148.0,702.0,9924.0,207.0,810.0,2111.0,288.0,10558.0,1160.0,156.0,1858.0,48551.0,299.0,755.0,696.0,277.0,773.0,225.0,217.0,5201.0,228.0,371.0,11375.0,718.0,370.0,7200.0,9265.0,136.0,13635.0,47386.0,14028.0,3085.0,562.0,3786.0,3636.0,10174.0,543.0,1315.0,41.0,806.0,3716.0,1403.0,870.0,87.0,213.0,234.0,1062.0,459.0,7273.0,3638.0,1549.0
29,   Military,2002.0,1929000.0,206431.0,3879.0,2.0,52.0,335.0,67.0,32.0,1747.0,49.0,280.0,1632.0,76.0,388.0,367.0,26.0,3953.0,4890.0,94.0,36.0,17248.0,222.0,498.0,25.0,159.0,396.0,13.0,211.0,4748.0,202.0,147.0,5099.0,595.0,27.0,3931.0,2969.0,89.0,19837.0,100959.0,1621.0,1145.0,507.0,1328.0,3093.0,3322.0,390.0,302.0,4.0,64.0,6915.0,1474.0,811.0,144.0,94.0,18.0,685.0,75.0,4902.0,328.0,3929.0
30,   State and local,2010.0,19619000.0,2325520.0,108109.0,267.0,4697.0,16150.0,2613.0,2177.0,43589.0,3489.0,10064.0,62586.0,1841.0,13082.0,16532.0,2766.0,54711.0,13623.0,4037.0,4584.0,548712.0,10595.0,15029.0,1488.0,6583.0,18522.0,900.0,1411.0,28817.0,10768.0,5713.0,147611.0,18256.0,2015.0,125804.0,167551.0,2865.0,111176.0,197739.0,91705.0,39894.0,22345.0,29068.0,32176.0,83837.0,19407.0,11550.0,325.0,3350.0,22144.0,27667.0,28940.0,4750.0,3891.0,801.0,31225.0,4901.0,38837.0,37218.0,5017.0
31,    State government,2011.0,5365000.0,535057.0,33682.0,0.0,1968.0,4371.0,369.0,33.0,635.0,1509.0,381.0,12578.0,41.0,3444.0,3110.0,344.0,10624.0,5798.0,99.0,2676.0,91604.0,2650.0,2033.0,369.0,409.0,4723.0,49.0,42.0,5974.0,3998.0,539.0,31486.0,734.0,46.0,14723.0,102063.0,81.0,13754.0,46435.0,43148.0,7053.0,10905.0,329.0,0.0,7874.0,6687.0,1781.0,0.0,304.0,6400.0,4195.0,2150.0,108.0,348.0,39.0,1527.0,1116.0,2657.0,26149.0,933.0
32,    Local government,2012.0,14254000.0,1790463.0,74427.0,0.0,2729.0,11779.0,2244.0,2144.0,42954.0,1980.0,9683.0,50008.0,1800.0,9638.0,13422.0,2422.0,44087.0,7825.0,3938.0,1908.0,457108.0,7945.0,12996.0,1119.0,6174.0,13799.0,851.0,1369.0,22843.0,6770.0,5174.0,116125.0,17522.0,1969.0,111081.0,65488.0,2784.0,97422.0,151304.0,48557.0,32841.0,11440.0,28739.0,0.0,75963.0,12720.0,9769.0,325.0,3046.0,15744.0,23472.0,26790.0,4642.0,3543.0,762.0,29698.0,3785.0,36180.0,11069.0,4084.0
